6985	32
0	1	
raw
Accepted	Cluster	Timestamp	Height	Width	Slope	SlopeD	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
0	0	5475	1694.000000	1.#INF00	0.000000	0.000000	-129.883156	-46.883156	-47.883156	-127.883156	-214.883156	-268.883156	-344.883156	-507.883156	-725.883156	-899.883156	-965.883156	-929.883156	-832.883156	-708.883156	-577.883156	-444.883156	-294.883156	-114.883156	82.116844	247.116844	342.116844	383.116844	426.116844	506.116844	611.116844	694.116844	728.116844	720.116844	687.116844	641.116844	580.116844	490.116844
0	0	5477	960.000000	1.#INF00	0.000000	0.000000	-616.883156	-659.883156	-658.883156	-599.883156	-538.883156	-538.883156	-606.883156	-687.883156	-741.883156	-758.883156	-723.883156	-640.883156	-561.883156	-536.883156	-529.883156	-454.883156	-270.883156	-25.883156	162.116844	201.116844	96.116844	-49.883156	-138.883156	-165.883156	-182.883156	-208.883156	-236.883156	-274.883156	-321.883156	-343.883156	-301.883156	-199.883156
0	0	5478	1507.000000	1.#INF00	0.000000	0.000000	339.116844	266.116844	196.116844	159.116844	122.116844	18.116844	-206.883156	-520.883156	-792.883156	-879.883156	-757.883156	-521.883156	-286.883156	-115.883156	-11.883156	44.116844	84.116844	153.116844	282.116844	439.116844	556.116844	594.116844	582.116844	565.116844	562.116844	578.116844	608.116844	627.116844	615.116844	583.116844	542.116844	480.116844
0	0	5480	2279.000000	1.#INF00	0.000000	0.000000	-257.883156	-125.883156	-34.883156	-34.883156	-100.883156	-195.883156	-342.883156	-588.883156	-901.883156	-1166.883156	-1278.883156	-1229.883156	-1073.883156	-853.883156	-604.883156	-376.883156	-197.883156	-37.883156	163.116844	423.116844	692.116844	894.116844	990.116844	1000.116844	984.116844	984.116844	983.116844	926.116844	796.116844	634.116844	506.116844	453.116844
0	0	5504	1515.000000	1.#INF00	0.000000	0.000000	-200.883156	-199.883156	-246.883156	-293.883156	-289.883156	-280.883156	-372.883156	-595.883156	-850.883156	-1004.883156	-996.883156	-851.883156	-618.883156	-345.883156	-87.883156	111.116844	231.116844	284.116844	312.116844	360.116844	440.116844	510.116844	489.116844	346.116844	178.116844	124.116844	196.116844	276.116844	259.116844	156.116844	39.116844	-57.883156
0	0	5548	840.000000	1.#INF00	0.000000	0.000000	-329.883156	-340.883156	-416.883156	-492.883156	-502.883156	-485.883156	-549.883156	-707.883156	-830.883156	-791.883156	-608.883156	-424.883156	-360.883156	-407.883156	-489.883156	-549.883156	-573.883156	-563.883156	-529.883156	-489.883156	-452.883156	-386.883156	-257.883156	-97.883156	9.116844	6.116844	-81.883156	-176.883156	-231.883156	-254.883156	-269.883156	-288.883156
0	0	5554	1130.000000	1.#INF00	0.000000	0.000000	-275.883156	-382.883156	-424.883156	-419.883156	-425.883156	-469.883156	-543.883156	-632.883156	-717.883156	-761.883156	-719.883156	-587.883156	-395.883156	-166.883156	72.116844	257.116844	343.116844	356.116844	358.116844	368.116844	347.116844	264.116844	150.116844	76.116844	90.116844	178.116844	269.116844	285.116844	189.116844	15.116844	-140.883156	-176.883156
0	0	5592	3988.000000	1.#INF00	0.000000	0.000000	-84.883156	25.116844	65.116844	184.116844	481.116844	788.116844	654.116844	-297.883156	-1864.883156	-2077.883156	-2077.883156	-2077.883156	-333.883156	1031.116844	1668.116844	1828.116844	1870.116844	1910.116844	1875.116844	1717.116844	1495.116844	1292.116844	1140.116844	1015.116844	871.116844	681.116844	437.116844	178.116844	-21.883156	-111.883156	-103.883156	-45.883156
0	0	5594	1007.000000	1.#INF00	0.000000	0.000000	-339.883156	-427.883156	-417.883156	-354.883156	-310.883156	-345.883156	-473.883156	-650.883156	-779.883156	-776.883156	-664.883156	-537.883156	-442.883156	-337.883156	-192.883156	-47.883156	48.116844	91.116844	96.116844	52.116844	-50.883156	-163.883156	-186.883156	-66.883156	118.116844	227.116844	199.116844	93.116844	5.116844	-33.883156	-48.883156	-42.883156
1	1	5595	2009.000000	1.#INF00	0.000000	0.000000	153.116844	210.116844	208.116844	183.116844	160.116844	60.116844	-205.883156	-578.883156	-839.883156	-804.883156	-474.883156	0.116844	460.116844	827.116844	1074.116844	1169.116844	1133.116844	1064.116844	1056.116844	1114.116844	1155.116844	1086.116844	877.116844	618.116844	463.116844	472.116844	532.116844	500.116844	366.116844	241.116844	219.116844	273.116844
